pc vector number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
Hand32	0.0716225033496	0.0270336384459	0.0438807037999	0.028824731176	0.010783766818	-0.0100304088028	0.0167484816084	0.0154300519507	0.0130675060277	0.0463795636258	-0.0013818206608	-0.00529847539549	0.0115738359401	0.000626254513668	-0.00855480386563	-0.0146818420475	-0.00710606257849	-0.0108265966035	-0.00244821396115	-0.00897481698898	-0.00797511308416	-0.0102883082364	0.002822193457	-0.015582682588	-0.0144368162508	0.0164722814786	0.0069237479256	-0.00719786270392	-0.0136499415854	-0.014333124888	-0.00865079554289	-0.00119844836577	0.00309434750264	-0.0029197633408	0.0111227548786	0.00122264045662	-0.00433824298871	0.0064937723781	0.00343165689249	-0.00827841258444	0.000618282605711	-0.00262748815768	-0.0150786791966	0.00215666366927	-0.00467482641033	0.0102889737882	-0.00485210837983	0.0030847321581	0.00360825189294	0.00274447302304	-0.00382548916907	0.0014321109601	0.00520996195557	-0.00224552366107	-0.0012691536693	-0.00202893170413	-0.00315996202722	-5.26997766772e-05	-0.000279901864527	-0.000875355380105	-0.0018629914705	-0.00126816951815	-0.000150926114077	1.39038672185e-09
Hand33	-0.0777895709198	0.00350485280089	-0.0139118707917	0.011415417967	0.0139803844689	0.0230971523073	0.0173372229464	-0.0285723116215	0.00152102653476	-0.00247564548589	0.000941787492328	-0.00138426522764	-0.00257357509335	0.0212101782776	-0.0146657035095	-0.00846254114156	0.00319429273397	0.00763689872338	0.0290354605951	0.000243763218441	-0.00665185561133	0.00122280680485	-0.0116944113281	-0.00840050585739	-0.00213168938791	0.00184780472739	-0.00431517505312	0.00372211714727	0.0113292481332	-0.00905804400355	0.0119954581688	0.00207922251116	-0.00645118378422	0.00836328504071	-0.00579277715645	0.00762747410985	-0.000712903799289	0.00962259396497	0.00344590028592	0.00302625631635	-0.00110470689518	-0.0110489444175	0.00801519624942	0.00794330030136	-0.00252419590569	-0.00872098566014	-0.000396967739944	-0.00679631793057	0.00542289311909	0.00523848129496	0.00291763767354	0.00343409168134	0.0106753874327	0.000633197407665	-0.00568093376728	-0.00434617308567	-0.0052109622356	0.000399766433631	0.00313929417553	-0.000415550025427	-6.464820214e-05	-0.000259240751416	0.000276400587504	1.39038672185e-09
Hand34	-0.080757484937	-0.0253190828129	0.00696735448108	0.013822475461	-0.02504255216	0.0430117138684	0.00823466321997	-0.0109319506158	-0.0134687452461	-0.019200815801	0.0295111582885	0.00737668725375	-0.0196814782307	0.026801691514	-0.0113148768515	0.00137847534897	-0.00516127436553	0.0107795466263	-0.0147180450976	0.00187367092748	-0.0106339423619	-0.004252901655	0.00401478067243	0.0102375842341	0.0115405322538	-0.000287349705994	-0.000358971539083	0.00247848960979	0.000791650836728	-0.0207136223543	-0.0135596801165	0.00983716902136	-0.00747442123229	-0.00644573714777	-0.0047919097656	0.00215112612536	0.00411298457181	-0.00244266706362	0.00232655374422	-0.00496934381795	-0.00769649436012	0.00203696527913	-0.00951703360845	0.00301726822041	0.00209638013103	-0.00342170863017	-0.00611079990072	0.00148603123428	-0.00569573813499	-0.00489181332289	-0.00543222274244	-0.000181519235005	-0.00121901859053	0.00127376362044	0.000860781895195	0.000454164425879	-0.00366289616859	0.000269088863155	-0.0010021109605	0.000110940456323	-0.00345669168248	0.00301500480436	-0.000291914588688	1.39038672185e-09
Hand35	0.0319356280057	-0.0366073402304	0.0478752218456	-0.0144094862313	-0.016364200944	0.00300477351499	0.0219174859204	0.0243503831179	0.00262132329936	0.00791600598892	-0.0114614236531	0.00243124491571	-0.0139477082762	-0.00547724353244	0.00663176600215	0.00326822322923	-0.0124593277265	-8.97460913023e-05	-0.00366900048889	0.00405853411682	0.0176691594322	-0.00216505688335	-0.00666563460822	-0.00775694806729	0.00510502301493	-0.0177879660108	0.00377503685504	0.0209492831964	-0.00322552613352	-0.0019322010713	0.000630942057152	0.00237893931961	0.00320229729309	0.00474717417235	0.00542969215582	-0.0101383792912	-0.0144397595062	0.00424069376441	0.0121106747162	0.00680237494085	-0.00486814322573	-0.0101621715944	0.00120613873641	-0.00747857670849	-0.00165484864151	-0.00185435352858	-0.0044000571737	-0.00835678879999	-0.00067578269592	0.00184543171366	-0.00238740693571	-0.00884433657046	0.00300979145382	0.00632811920848	0.00137209409931	0.00252203250906	0.00218035927331	0.0041011920894	0.00213218523776	-0.00471699360493	-0.00101584307305	0.000909851207305	-7.65201383186e-05	1.39038672185e-09
Hand36	-0.0421365999931	-0.0629191806894	0.0336495347049	-0.0221340494047	-0.0481434424449	-0.00302806040567	0.00589655634804	0.000282839814283	-0.00233053150725	0.0175532506068	0.0120889954051	0.0117996939082	0.0327419203728	-0.018085352075	0.0042038179753	0.00921380172536	-0.0067704837939	0.00859137271623	0.0088453506561	-0.00941281863822	0.00456245100013	-0.00717482166228	-0.0112552498958	0.00158415592102	0.00944172664216	-0.000499992575661	0.0232088412835	-0.00204207353637	-0.00529928291676	0.00833721129615	0.0175701618233	0.00347784174124	0.00981889360233	-0.00922658277928	9.39558371851e-05	0.0153436197841	0.00787993779202	-0.00780863902321	0.00493142073622	-0.00821038700409	0.00228595207446	0.00317523998907	0.00269311829952	-0.00614202099223	-0.00014539880784	-0.00803048825061	0.00467564513978	0.00076420011812	-0.00183947726436	-0.00154603624103	-0.00306122593676	0.000177919921088	0.00180380550453	0.00347561376856	-0.0042031782735	0.00334997377938	-0.00606646428525	-0.00158786462305	0.000149926289348	0.00205241763995	-0.000694960680287	-0.000457691984579	-0.000289960435784	1.39038672185e-09
Hand38	-0.0373964014158	0.0424127004182	0.0329332344091	0.0286887654757	-0.00113362423506	-0.0285098563354	0.0265974819053	-0.0200854552727	0.0046724099688	-0.0248848237592	-0.0228709114078	0.0231577472672	0.00114667910643	0.0189316102886	0.0134800543645	0.0159805138039	0.00847907551071	0.018712407371	-0.0108351210973	0.000331530895657	0.00680088584511	0.000171353602657	-0.00387314412301	-0.0077275554101	-0.0105443707585	0.0175164702195	0.00520910919169	-0.00541275853051	0.00149439954365	-0.00220124496548	0.00604886955657	-0.0072751478031	0.000511504666502	-0.00773197259807	-0.0174838868605	-0.00246729325247	0.0105640615027	-0.00889768359821	0.00128031101413	0.00130303426193	0.000721201460409	-0.0111185870047	0.000774520792873	0.000516823762628	0.00119334119001	-0.00173506045581	-0.00702502110733	0.00660071480073	0.0021210535849	0.000706847196338	-0.0032609176343	-0.0017812607272	-0.000546001133271	0.00602680502315	0.00553646132275	-0.00181318953072	0.00489296554547	0.00151793431116	-0.000766630116396	-0.00149783956792	-0.000528198817505	-0.00247243806691	-0.000187074489348	1.39038672185e-09
Hand39	-0.0612474034022	-0.0117899885044	0.0369525755042	-0.000704971623014	0.0097693880559	-0.0126491623778	-0.0156574499398	0.00681189039931	-0.00288387345298	-0.0244893178056	-0.00135395101521	0.00244791232338	-0.00614437752179	0.0140233094968	0.0129450068059	0.00977988653546	0.00177111818117	-0.00991609368186	-0.00396783695469	-0.0200318748781	-0.0046929625796	0.00787666108801	-0.00648943950163	-0.0092008547132	-0.0066691514733	-0.011502608847	0.00960697160328	0.0206401006943	-0.00363578878064	0.00146498271552	-0.0138080575125	-0.00731372966429	0.0085995453821	0.00394981532431	0.000622417395732	0.00531220490065	-0.00518440040595	-0.00621796636715	-0.0109947138998	-0.00746322542086	0.00778703155156	0.00562082419004	-0.00778163213068	-0.000918591879261	0.00587959689138	-0.00544904442534	0.0062683164118	0.00225982256504	0.00297371696854	0.0025214530989	-0.00101573844786	0.0110097951513	-1.42754704934e-05	0.00149451598858	0.000853092949497	-0.00190012105062	0.000671049752586	0.00156053416712	0.0066423054959	-0.00170834244005	-0.000842328761774	0.000507808632928	0.000681399120694	1.39038672185e-09
Hand40	-0.0273466361765	0.0867144821451	-0.00099207829151	-0.0439358432931	0.00451176892675	-0.0374510657947	-0.0185762365227	0.0122874748423	-0.0246632332816	0.0115139520978	-0.0106687944741	0.00886936955487	0.0146592482992	0.00178708176692	-0.00703704250444	0.00676291100957	0.00166603817999	-0.00150474715131	-0.00407113100287	-0.0149082669246	0.00843340187494	-0.0175221222933	0.0209224925099	0.00637090078246	-0.0097687668928	-0.00550237942749	-0.0012461234648	0.0112003665022	0.00279474567592	-0.00653317648086	0.00421001955289	-0.00420566460385	-0.0222831007436	-0.0038366986358	-0.000466438833265	0.00973572501982	0.00104188044961	0.00341421564766	-0.00516172199276	0.012859589151	0.00262252183247	0.00422014448128	-0.00254869108486	0.00627311976822	-0.00287638989664	-0.0029703301455	-0.00473269552098	0.000360689597407	-0.00591112086255	0.00392382427837	0.00298543919718	-0.00194186271879	0.00318156739085	-0.000147141074635	0.0035324046651	0.00510038738585	-0.000921756095045	0.00075892626333	0.00560054055254	0.00340094229955	-0.000369116934716	8.90809461939e-05	-0.000294163512915	1.39038672185e-09
Hand42	0.0845768087327	-0.0377397244088	-0.0412474584785	0.0120502131619	-0.0143596689971	-0.00480678623249	-0.0188218050218	-0.00739579177455	0.00114443043875	-0.0186865522017	-0.0101929426881	-0.0327698176782	-0.00590032075842	-0.0187775937479	7.50805924271e-05	0.010278770093	0.0145894744067	0.00444355866327	0.0248206694439	0.0234070138972	0.0109715426828	-0.00123063863737	0.00959848736839	0.00600921447057	-0.00143979681662	-0.00636644627577	0.00295028634029	0.000841193282328	-0.00243579497713	0.000868098001857	-0.0150139646936	0.00219279526444	0.00549720207975	-0.00568650797318	-0.00943399194557	0.0024398345674	-0.00397927316955	0.00928543415405	0.00655279499724	0.00216629862187	0.0102996174303	-0.000640741425022	-0.00430810350988	0.00168471262746	-0.00723122827517	0.000218929470184	0.000701826311032	-0.000825740130121	0.00129179773784	-0.00736481145709	-0.00540891315715	0.00200967548101	-0.000770757038166	0.000277235435828	0.00429595994125	-0.000966373510839	-0.00266684921855	-0.00420212098211	0.00568525357672	6.58038495136e-05	-0.00296469534314	-0.00225645869635	-0.000271249100608	1.39038672185e-09
Hand43	0.0890590748822	-0.0220338772206	-0.00200828257717	0.00867803693871	0.0211198551134	0.00721902254054	-0.00534461161827	-0.000974534384833	0.0292862160891	-0.0245886006295	-0.00748583441839	-0.00263829593124	-0.0015241193998	-0.00686361006546	0.0125320225981	0.00969024655337	-0.0128911683563	-0.00409290770981	0.00788304711234	-0.00434600404537	-0.0151959687816	0.00382281113868	0.00915792363632	-0.00338194236389	-0.00461186450771	-0.0184546651816	0.00726955318777	-0.0140758076302	-0.0101106450071	0.00142527325075	0.00674763701242	-0.00829084122546	-0.00618737779132	-0.0129705130706	-0.00108677329642	0.00430863510751	-0.00192138592001	0.00327999353179	-0.00430023776009	0.00459665961279	-0.0123976005265	0.00610568922481	0.00762688530847	0.00223927490315	0.0163843299222	0.00069527331638	-0.00408297122712	-0.00420910984974	-0.00222360464642	0.00627925212753	-0.00816740372695	-0.00551371321983	0.0025412881124	-0.0073061495467	0.00235478626842	-0.00171739618108	-0.00323073460245	-0.000747822194182	-0.00120335289375	-0.00118415456793	-0.000817971290972	-0.000514350902821	0.000237510349353	1.39038672185e-09
